Model year,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2026,8.0,6.3,7.3,39,171,6,6
2026,8.9,6.5,7.8,36,181,6,5
2026,11.1,8.3,9.9,29,230,5,5
2026,12.6,9.4,11.2,25,263,4,4
2026,13.8,11.2,12.4,23,291,4,4
2026,11.0,8.6,9.9,29,232,5,5
2026,11.3,9.1,10.3,27,241,5,5
2026,9.7,7.1,8.5,33,200,5,6
2026,12.1,8.0,10.2,28,241,5,4
2026,11.3,8.4,10.0,28,234,5,4
2026,10.8,8.1,9.6,29,225,5,6
2026,13.0,10.0,11.7,24,275,4,4
2026,13.6,10.4,12.1,23,285,4,4
2026,11.9,8.2,10.3,27,240,5,2
2026,17.1,11.2,14.4,20,339,3,2
2026,16.5,10.7,13.9,20,326,3,2
2026,16.1,11.7,14.1,20,340,3,2
2026,10.5,7.7,9.2,31,217,5,4
2026,16.3,11.9,14.3,20,335,3,2
2026,16.1,11.9,14.2,20,335,3,2
2026,17.1,11.4,14.6,19,343,3,2
2026,17.1,11.4,14.6,19,343,3,2
2026,9.5,7.1,8.4,34,194,5,2
2026,8.9,6.9,8.0,35,185,6,7
2026,9.6,7.1,8.5,33,196,5,7
2026,8.7,6.9,7.9,36,183,6,7
2026,8.7,6.8,7.9,36,182,6,6
2026,13.3,9.3,11.5,25,265,4,4
2026,15.2,11.6,13.6,21,314,3,4
2026,14.4,10.3,12.5,23,290,4,4
2026,14.7,10.0,12.6,22,294,4,4
2026,14.7,10.2,12.7,22,295,4,4
2026,10.3,7.3,9.0,31,209,5,4
2026,14.7,10.1,12.6,22,293,4,4
2026,14.9,10.3,12.8,22,296,4,4
2026,9.0,7.1,8.2,34,189,6,6
2026,14.7,10.1,12.6,22,293,4,4
2026,14.7,10.2,12.7,22,293,4,4
2026,14.9,10.5,12.9,22,297,4,4
2026,9.2,7.3,8.4,34,194,6,6
2026,8.9,7.1,8.1,35,187,6,6
2026,14.1,9.9,12.2,23,284,4,2
2026,14.1,9.9,12.2,23,284,4,2
2026,14.1,9.9,12.2,23,284,4,2
2026,9.5,6.9,8.3,34,193,6,7
2026,9.9,7.4,8.8,32,203,5,5
2026,9.7,6.9,8.4,34,195,5,7
2026,10.3,7.5,9.1,31,210,5,5
2026,8.8,7.1,8.1,35,186,6,7
2026,9.3,7.7,8.6,33,199,5,6
2026,10.1,8.7,9.4,30,218,5,6
2026,13.8,10.5,12.3,23,285,4,4
2026,18.2,12.9,15.8,18,366,2,4
2026,10.9,8.9,10.0,28,231,5,6
2026,13.8,10.5,12.3,23,285,4,4
2026,18.2,12.9,15.8,18,366,2,4
2026,11.3,9.3,10.4,27,240,5,6
2026,14.7,11.6,13.3,21,310,3,4
2026,9.4,7.1,8.4,34,194,6,6
2026,10.4,8.0,9.3,30,215,5,4
2026,12.6,8.9,10.9,26,253,4,4
2026,12.1,9.9,11.1,25,260,4,6
2026,8.0,7.6,7.8,36,183,6,6
2026,9.2,8.4,8.8,32,206,5,6
2026,10.5,8.4,9.5,30,226,5,6
2026,8.4,7.4,7.9,36,185,6,6
2026,10.6,7.3,9.1,31,214,5,6
2026,11.0,7.6,9.5,30,221,5,5
2026,11.0,7.6,9.5,30,223,5,6
2026,11.3,8.1,9.9,29,231,5,5
2026,11.7,8.2,10.1,28,238,5,5
2026,15.0,9.7,12.6,22,297,4,4
2026,15.2,10.2,12.9,22,303,3,4
2026,12.0,8.4,10.4,27,244,5,5
2026,10.6,7.5,9.2,31,215,5,6
2026,12.3,8.4,10.6,27,249,4,4
2026,11.1,7.9,9.7,29,228,5,6
2026,12.9,8.8,11.0,26,260,4,4
2026,13.2,8.7,11.2,25,263,4,4
2026,18.5,11.5,15.3,18,360,2,2
2026,18.7,11.6,15.5,18,365,2,2
2026,13.8,9.0,11.7,24,275,4,4
2026,16.6,13.0,15.0,19,352,3,5
2026,20.8,13.8,17.7,16,420,1,2
2026,10.9,8.2,9.7,29,228,5,6
2026,11.2,8.7,10.1,28,237,5,6
2026,12.9,9.2,11.2,25,264,4,4
2026,10.8,8.7,9.9,29,232,5,6
2026,12.8,9.2,11.2,25,264,4,4
2026,12.3,9.7,11.1,25,261,4,6
2026,13.6,10.7,12.3,23,287,4,6
2026,14.0,11.9,13.1,22,307,3,6
2026,14.1,13.8,14.0,20,328,3,6
2026,14.8,15.1,14.9,19,350,3,6
2026,15.1,9.4,12.5,23,295,4,4
2026,15.1,9.7,12.7,22,298,4,2
2026,19.4,11.4,15.8,18,371,2,2
2026,20.0,12.7,16.7,17,392,2,2
2026,19.5,13.1,16.6,17,390,2,2
2026,19.2,12.7,16.2,17,381,2,2
2026,9.2,8.1,8.7,32,204,5,6
2026,9.6,8.1,8.9,32,209,5,6
2026,13.5,11.3,12.5,23,293,4,6
2026,10.1,8.3,9.3,30,250,4,4
2026,15.0,12.0,13.6,21,319,3,6
2026,13.7,11.8,12.8,22,300,3,6
2026,14.6,13.6,14.2,20,332,3,6
2026,10.7,9.3,10.1,28,270,4,4
2026,11.0,9.9,10.5,27,283,4,4
2026,15.3,12.6,14.1,20,330,3,6
2026,15.2,12.2,13.9,20,326,3,2
2026,21.3,16.6,19.2,15,320,3,2
2026,15.8,13.4,14.7,19,345,3,6
2026,15.7,11.9,14.0,20,328,3,5
