Smog rating,Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),Model year
6,6.3,7.3,39,171.0,2026
5,6.5,7.8,36,181.0,2026
5,8.3,9.9,29,230.0,2026
4,9.4,11.2,25,263.0,2026
4,11.2,12.4,23,291.0,2026
5,8.6,9.9,29,232.0,2026
5,9.1,10.3,27,241.0,2026
6,7.1,8.5,33,200.0,2026
4,8.0,10.2,28,241.0,2026
4,8.4,10.0,28,234.0,2026
6,8.1,9.6,29,225.0,2026
4,10.0,11.7,24,275.0,2026
4,10.4,12.1,23,285.0,2026
2,8.2,10.3,27,240.0,2026
2,11.2,14.4,20,339.0,2026
2,10.7,13.9,20,326.0,2026
2,11.7,14.1,20,340.0,2026
4,7.7,9.2,31,217.0,2026
2,11.9,14.3,20,335.0,2026
2,11.9,14.2,20,335.0,2026
2,11.4,14.6,19,343.0,2026
2,7.1,8.4,34,194.0,2026
7,6.9,8.0,35,185.0,2026
7,7.1,8.5,33,196.0,2026
7,6.9,7.9,36,183.0,2026
6,6.8,7.9,36,182.0,2026
4,9.3,11.5,25,265.0,2026
4,11.6,13.6,21,314.0,2026
4,10.3,12.5,23,290.0,2026
4,10.0,12.6,22,294.0,2026
4,10.2,12.7,22,295.0,2026
4,7.3,9.0,31,209.0,2026
4,10.1,12.6,22,293.0,2026
4,10.3,12.8,22,296.0,2026
6,7.1,8.2,34,189.0,2026
4,10.2,12.7,22,293.0,2026
4,10.5,12.9,22,297.0,2026
6,7.3,8.4,34,194.0,2026
6,7.1,8.1,35,187.0,2026
2,9.9,12.2,23,284.0,2026
7,6.9,8.3,34,193.0,2026
5,7.4,8.8,32,203.0,2026
7,6.9,8.4,34,195.0,2026
5,7.5,9.1,31,210.0,2026
7,7.1,8.1,35,186.0,2026
6,7.7,8.6,33,199.0,2026
6,8.7,9.4,30,218.0,2026
4,10.5,12.3,23,285.0,2026
4,12.9,15.1,19,353.9,2026
6,8.9,10.0,28,231.0,2026
6,9.3,10.4,27,240.0,2026
4,11.6,13.3,21,310.0,2026
6,7.1,8.4,34,194.0,2026
4,8.0,9.3,30,215.0,2026
4,8.9,10.9,26,253.0,2026
6,9.9,11.1,25,260.0,2026
6,7.6,7.8,36,183.0,2026
6,8.4,8.8,32,206.0,2026
6,8.4,9.5,30,226.0,2026
6,7.4,7.9,36,185.0,2026
6,7.3,9.1,31,214.0,2026
5,7.6,9.5,30,221.0,2026
6,7.6,9.5,30,223.0,2026
5,8.1,9.9,29,231.0,2026
5,8.2,10.1,28,238.0,2026
4,9.7,12.6,22,297.0,2026
4,10.2,12.9,22,303.0,2026
5,8.4,10.4,27,244.0,2026
6,7.5,9.2,31,215.0,2026
4,8.4,10.6,27,249.0,2026
6,7.9,9.7,29,228.0,2026
4,8.8,11.0,26,260.0,2026
4,8.7,11.2,25,263.0,2026
2,11.5,15.1,19,353.9,2026
2,11.6,15.1,19,353.9,2026
4,9.0,11.7,24,275.0,2026
5,12.9,15.0,19,352.0,2026
2,12.9,15.1,19,353.9,2026
6,8.2,9.7,29,228.0,2026
6,8.7,10.1,28,237.0,2026
4,9.2,11.2,25,264.0,2026
6,8.7,9.9,29,232.0,2026
4,9.2,11.2,25,264.0,2026
6,9.7,11.1,25,261.0,2026
6,10.7,12.3,23,287.0,2026
6,11.9,13.1,22,307.0,2026
6,12.9,14.0,20,328.0,2026
6,12.9,14.9,19,350.0,2026
4,9.4,12.5,23,295.0,2026
2,9.7,12.7,22,298.0,2026
2,11.4,15.1,19,353.9,2026
2,12.7,15.1,19,353.9,2026
2,12.9,15.1,19,353.9,2026
2,12.7,15.1,19,353.9,2026
6,8.1,8.7,32,204.0,2026
6,8.1,8.9,32,209.0,2026
6,11.3,12.5,23,293.0,2026
4,8.3,9.3,30,250.0,2026
6,12.0,13.6,21,319.0,2026
6,11.8,12.8,22,300.0,2026
6,12.9,14.2,20,332.0,2026
4,9.3,10.1,28,270.0,2026
4,9.9,10.5,27,283.0,2026
6,12.6,14.1,20,330.0,2026
2,12.2,13.9,20,326.0,2026
2,12.9,15.1,19,320.0,2026
6,12.9,14.7,19,345.0,2026
5,11.9,14.0,20,328.0,2026
5,12.9,15.1,19,353.9,2026
2,10.5,11.1,25,298.0,2026
5,12.9,15.1,19,353.9,2026
4,8.9,10.2,28,274.0,2026
6,12.0,14.0,20,329.0,2026
4,9.7,10.7,26,287.0,2026
6,12.6,15.1,19,353.0,2026
4,9.0,9.9,29,266.0,2026
6,12.2,14.2,20,333.0,2026
6,7.7,7.8,36,183.0,2026
6,10.2,10.7,26,178.0,2026
6,7.2,7.7,37,181.0,2026
6,8.1,8.7,32,204.0,2026
6,7.6,8.1,35,190.0,2026
5,8.4,10.6,27,249.0,2026
5,9.4,12.0,24,279.0,2026
6,9.9,11.9,24,279.0,2026
4,11.0,14.3,20,336.0,2026
5,12.7,15.1,19,353.9,2026
5,12.9,15.1,19,353.9,2026
5,11.8,14.1,20,330.0,2026
5,12.9,15.1,19,353.9,2026
5,10.5,12.4,23,290.0,2026
6,10.9,12.0,24,289.0,2026
6,11.0,12.1,23,291.0,2026
5,12.9,13.8,20,325.0,2026
6,12.4,13.3,21,320.0,2026
6,12.9,13.4,21,325.0,2026
5,11.7,12.2,23,287.0,2026
5,12.9,15.1,19,353.9,2026
6,12.4,13.2,21,310.0,2026
6,7.8,8.6,33,201.0,2026
5,8.7,10.1,28,237.0,2026
6,9.0,9.7,29,227.0,2026
6,6.9,8.0,35,185.0,2026
6,7.4,8.4,34,197.0,2026
5,7.6,9.1,31,213.0,2026
7,6.5,6.51,43,151.2,2026
5,10.8,13.3,21,312.0,2026
6,8.7,10.4,27,245.0,2026
5,9.6,11.6,24,273.0,2026
6,10.1,11.2,25,263.0,2026
5,10.6,12.4,23,290.0,2026
5,9.5,11.2,25,264.0,2026
5,9.7,12.2,23,286.0,2026
5,10.0,12.4,23,293.0,2026
5,10.2,11.8,24,277.0,2026
5,10.2,12.3,23,288.0,2026
5,10.4,12.8,22,301.0,2026
5,10.0,10.7,26,251.0,2026
5,12.8,15.0,19,352.0,2026
2,12.9,15.1,19,353.9,2026
5,11.2,12.9,22,303.0,2026
5,11.9,13.7,21,322.0,2026
5,7.8,9.4,30,219.0,2026
5,7.8,9.7,29,227.0,2026
7,6.8,6.51,43,151.2,2026
7,7.0,6.51,43,151.2,2026
7,7.3,6.6,43,154.0,2026
6,7.1,9.1,31,213.0,2026
2,10.0,13.0,22,306.0,2026
2,10.6,13.4,21,314.0,2026
2,10.9,13.9,20,326.0,2026
2,10.8,14.2,20,331.0,2026
2,12.9,15.1,19,353.9,2026
6,9.9,11.2,25,262.0,2026
5,10.0,11.6,24,273.0,2026
5,12.8,14.0,20,326.0,2026
5,8.4,10.2,28,239.0,2026
4,10.7,12.7,22,298.0,2026
6,8.4,10.4,27,245.0,2026
5,10.0,12.9,22,303.0,2026
4,9.6,11.8,24,274.0,2026
6,8.9,10.6,27,249.0,2026
5,9.4,11.5,25,269.0,2026
5,10.9,12.4,23,290.0,2026
6,9.8,11.3,25,265.0,2026
5,10.5,12.6,22,295.0,2026
6,10.2,11.4,25,267.0,2026
6,12.0,13.6,21,319.0,2026
6,12.9,13.6,21,319.0,2026
6,12.9,14.6,19,341.0,2026
6,12.9,15.1,19,353.9,2026
5,12.1,14.3,20,335.0,2026
2,12.0,12.1,23,326.0,2026
5,12.9,15.1,19,353.9,2026
6,8.3,8.8,32,207.0,2026
6,8.5,9.3,30,219.0,2026
6,8.9,9.5,30,222.0,2026
6,6.1,7.0,40,164.0,2026
6,6.0,6.51,43,151.2,2026
6,6.0,6.7,42,156.0,2026
6,6.0,6.9,41,161.0,2026
6,6.0,6.51,43,151.2,2026
5,6.4,7.7,37,180.0,2026
6,7.1,7.8,36,183.0,2026
6,7.6,8.4,34,197.0,2026
7,6.9,6.51,43,151.2,2026
7,7.2,6.7,42,158.0,2026
6,7.4,8.3,34,194.0,2026
6,7.8,8.7,32,204.0,2026
4,8.5,10.6,27,248.0,2026
4,9.2,10.8,26,254.0,2026
4,9.9,11.4,25,269.0,2026
6,6.0,6.51,43,151.2,2026
4,9.9,11.5,25,271.0,2026
4,10.2,11.6,24,273.0,2026
4,6.7,7.6,37,179.0,2026
6,6.0,6.9,41,162.0,2026
6,6.0,6.8,42,158.0,2026
6,6.0,6.51,43,151.2,2026
2,8.6,10.4,27,244.0,2026
2,8.1,9.7,29,227.0,2026
6,6.7,7.6,37,179.0,2026
6,6.8,7.5,38,177.0,2026
6,8.4,9.0,31,211.0,2026
6,8.1,8.6,33,201.0,2026
6,8.1,8.5,33,198.0,2026
6,10.0,11.9,24,279.0,2026
6,10.6,12.7,22,298.0,2026
6,7.9,8.1,35,189.0,2026
6,9.3,11.4,25,267.0,2026
6,9.5,11.5,25,270.0,2026
6,8.7,10.7,26,251.0,2026
6,9.3,11.2,25,262.0,2026
6,7.0,6.9,41,163.0,2026
4,7.3,8.8,32,207.0,2026
6,7.0,8.6,33,203.0,2026
6,6.0,6.51,43,151.2,2026
6,7.7,8.8,32,207.0,2026
6,6.7,6.7,42,157.0,2026
4,6.9,7.5,38,177.0,2026
5,12.9,15.0,19,349.0,2026
5,12.9,15.1,19,353.9,2026
5,8.7,9.9,29,233.0,2026
5,12.3,13.8,20,325.0,2026
6,8.8,9.9,29,234.0,2026
6,9.4,11.1,25,260.0,2026
2,11.4,13.8,20,323.0,2026
6,7.5,8.9,32,208.0,2026
6,10.2,11.0,26,258.0,2026
6,10.2,12.2,23,287.0,2026
6,10.5,11.3,25,265.0,2026
6,10.1,11.9,24,280.0,2026
6,10.5,12.6,22,296.0,2026
6,9.3,11.3,25,266.0,2026
6,7.5,7.2,39,169.0,2026
6,6.0,6.51,43,151.2,2026
6,6.0,6.51,43,151.2,2026
6,6.8,7.6,37,179.0,2026
6,8.6,9.2,31,217.0,2026
6,7.5,8.2,34,192.0,2026
6,8.7,10.3,27,241.0,2026
6,8.5,9.4,30,222.0,2026
6,6.7,7.0,40,164.0,2026
6,7.0,8.3,34,194.0,2026
6,7.8,8.9,32,210.0,2026
6,6.6,6.7,42,156.0,2026
6,11.4,12.3,23,289.0,2026
2,12.4,14.5,19,342.0,2026
6,10.6,12.0,24,281.0,2026
2,12.8,15.1,19,353.9,2026
5,12.1,14.2,20,332.0,2026
2,12.5,14.9,19,353.0,2026
6,10.3,12.1,23,284.0,2026
6,10.0,11.5,25,271.0,2026
5,10.2,12.6,22,296.0,2026
5,10.8,13.2,21,311.0,2026
5,10.3,12.9,22,303.0,2026
5,10.8,13.1,22,309.0,2026
6,8.8,10.5,27,247.0,2026
6,8.9,10.0,28,237.0,2026
6,9.0,10.7,26,253.0,2026
6,9.4,11.1,25,261.0,2026
4,11.2,13.5,21,315.0,2026
5,8.9,10.8,26,254.0,2026
4,9.7,12.7,22,299.0,2026
4,9.5,13.0,22,304.0,2026
4,8.7,11.2,25,271.0,2026
4,10.8,12.7,22,298.0,2026
4,10.7,11.7,24,272.0,2026
6,8.5,9.8,29,228.0,2026
6,8.3,9.7,29,230.0,2026
6,6.4,6.51,43,151.2,2026
6,8.3,9.9,29,230.0,2026
6,6.8,6.51,43,151.2,2026
6,8.4,8.6,33,199.0,2026
6,8.9,10.3,27,241.0,2026
6,8.4,8.6,33,200.0,2026
6,6.0,6.51,43,151.2,2026
5,9.5,11.9,24,278.0,2026
5,8.3,9.9,29,234.0,2026
5,8.1,9.9,29,232.0,2026
5,7.5,7.9,36,185.0,2026
5,10.9,13.6,21,318.0,2026
6,7.5,8.7,32,204.0,2026
4,7.9,9.3,30,220.0,2026
6,8.2,9.3,30,218.0,2026
4,8.2,9.4,30,220.0,2026
6,6.4,6.51,43,151.2,2026
5,8.4,9.3,30,216.0,2026
5,8.5,9.5,30,222.0,2026
5,8.5,9.4,30,221.0,2026
6,6.6,7.8,36,183.0,2026
6,6.8,8.1,35,190.0,2026
6,6.8,7.9,36,186.0,2026
6,6.9,8.3,34,195.0,2026
6,7.0,8.3,34,194.0,2026
4,7.5,8.9,32,209.0,2026
4,8.8,10.8,26,252.0,2026
5,8.1,9.6,29,224.0,2026
2,8.4,10.2,28,236.0,2026
6,9.2,10.8,26,253.0,2026
6,8.7,10.4,27,243.0,2026
4,12.9,15.1,19,353.9,2026
